entity,soc
terraform/testdata/apply-provider-alias/main.tf,3771
terraform/testdata/apply-provider-alias-configure/main.tf,3771
terraform/testdata/apply-output/main.tf,3771
terraform/testdata/apply-output-orphan/main.tf,3771
terraform/testdata/apply-output-orphan-module/main.tf,3771
terraform/testdata/apply-output-orphan-module/child/main.tf,3771
terraform/testdata/apply-output-multi/main.tf,3771
terraform/testdata/apply-output-multi-index/main.tf,3771
terraform/testdata/apply-output-list/main.tf,3771
terraform/testdata/apply-output-depends-on/main.tf,3771
terraform/testdata/apply-output-add-before/outputs.tf.json,3771
terraform/testdata/apply-output-add-before/main.tf,3771
terraform/testdata/apply-output-add-after/outputs.tf.json,3771
terraform/testdata/apply-output-add-after/main.tf,3771
terraform/testdata/apply-orphan-resource/main.tf,3771
terraform/testdata/apply-multi-var/main.tf,3771
