entity,n-authors,n-revs
terraform/variables.go,6,17
builtin/providers/cloudstack/resource_cloudstack_template.go,6,17
builtin/providers/cloudstack/resource_cloudstack_ipaddress.go,6,17
terraform/transform_output.go,6,16
command/fmt.go,6,16
builtin/providers/openstack/resource_openstack_compute_keypair_v2.go,6,15
command/format_plan.go,6,15
terraform/resource_provisioner.go,6,15
builtin/providers/aws/resource_aws_ami.go,6,15
config/merge.go,6,15
builtin/providers/aws/resource_aws_directory_service_directory.go,6,14
backend/remote-state/s3/client.go,6,14
builtin/providers/azurerm/resource_arm_loadbalancer_backend_address_pool.go,6,14
builtin/providers/triton/resource_machine.go,6,13
builtin/providers/vcd/resource_vcd_network.go,6,13
builtin/provisioners/salt-masterless/resource_provisioner.go,6,13
builtin/providers/aws/tags_route53.go,6,12
builtin/providers/aws/resource_aws_route53_zone_association.go,6,12
plugin/serve.go,6,12
builtin/providers/aws/resource_aws_lambda_permission.go,6,12
builtin/providers/azurerm/resource_arm_virtual_machine_extension.go,6,11
builtin/providers/google/resource_compute_global_address.go,6,11
builtin/providers/azurerm/resource_arm_loadbalancer.go,6,11
builtin/providers/vcd/resource_vcd_firewall_rules.go,6,11
builtin/providers/google/image.go,6,11
.github/ISSUE_TEMPLATE.md,6,11
builtin/providers/aws/tagsRDS.go,6,11
builtin/providers/alicloud/resource_alicloud_instance.go,6,11
builtin/providers/aws/resource_aws_efs_file_system.go,6,10
builtin/providers/aws/resource_aws_opsworks_instance.go,6,10
builtin/providers/google/resource_compute_url_map.go,6,10
scripts/dist.sh,6,10
builtin/providers/azurerm/resource_arm_redis_cache.go,6,9
builtin/providers/google/resource_compute_ssl_certificate.go,6,9
builtin/providers/aws/resource_aws_iam_access_key.go,6,9
builtin/providers/aws/s3_tags.go,6,9
builtin/providers/aws/resource_aws_elasticache_security_group.go,6,9
builtin/providers/aws/resource_aws_lambda_event_source_mapping.go,6,9
terraform/util.go,6,9
builtin/providers/aws/resource_aws_rds_cluster_parameter_group.go,6,9
