entity,coupled,degree,average-revs
builtin/providers/openstack/resource_openstack_lb_loadbalancer_v2.go,builtin/providers/openstack/resource_openstack_lb_monitor_v2.go,73,10
builtin/providers/openstack/resource_openstack_lb_member_v1.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,31,26
builtin/providers/openstack/resource_openstack_lb_member_v1.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,37,22
builtin/providers/openstack/resource_openstack_lb_member_v1.go,builtin/providers/openstack/resource_openstack_lb_pool_v1.go,60,22
builtin/providers/openstack/resource_openstack_lb_member_v1.go,builtin/providers/openstack/resource_openstack_lb_vip_v1.go,60,20
builtin/providers/openstack/resource_openstack_lb_member_v1.go,builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,64,19
builtin/providers/openstack/resource_openstack_lb_member_v2.go,builtin/providers/openstack/resource_openstack_lb_pool_v2.go,77,9
builtin/providers/openstack/resource_openstack_lb_member_v2.go,builtin/providers/openstack/resource_openstack_lb_monitor_v2.go,87,8
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_networking_router_v2.go,30,20
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_networking_router_interface_v2.go,30,17
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,33,18
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,42,26
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,54,22
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_lb_pool_v1.go,72,22
builtin/providers/openstack/resource_openstack_lb_monitor_v1.go,builtin/providers/openstack/resource_openstack_lb_vip_v1.go,78,21
builtin/providers/openstack/resource_openstack_lb_monitor_v2.go,builtin/providers/openstack/resource_openstack_lb_pool_v2.go,87,8
builtin/providers/openstack/resource_openstack_lb_pool_v1.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,48,29
builtin/providers/openstack/resource_openstack_lb_pool_v1.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,52,25
builtin/providers/openstack/resource_openstack_lb_pool_v1.go,builtin/providers/openstack/resource_openstack_lb_vip_v1.go,68,24
builtin/providers/openstack/resource_openstack_lb_vip_v1.go,builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,30,20
builtin/providers/openstack/resource_openstack_lb_vip_v1.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,40,28
builtin/providers/openstack/resource_openstack_lb_vip_v1.go,builtin/providers/openstack/resource_openstack_networking_network_v2.go,51,24
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,builtin/providers/openstack/resource_openstack_networking_subnet_v2.go,32,25
builtin/providers/openstack/resource_openstack_networking_floatingip_v2.go,builtin/providers/openstack/resource_openstack_networking_router_v2.go,37,19
