entity,n-authors,n-revs,soc,robot-type
.github/ISSUE_TEMPLATE.md,6.0,11.0,31.0,0
builtin/providers/aws/tagsRDS.go,6.0,11.0,2557.0,1
builtin/providers/alicloud/resource_alicloud_instance.go,6.0,11.0,2609.0,1
builtin/providers/aws/resource_aws_efs_file_system.go,6.0,10.0,2410.0,1
builtin/providers/aws/resource_aws_opsworks_instance.go,6.0,10.0,2331.0,1
builtin/providers/google/resource_compute_url_map.go,6.0,10.0,2496.0,1
scripts/dist.sh,6.0,10.0,0.0,0
builtin/providers/azurerm/resource_arm_redis_cache.go,6.0,9.0,2432.0,1
builtin/providers/google/resource_compute_ssl_certificate.go,6.0,9.0,2495.0,1
builtin/providers/aws/resource_aws_iam_access_key.go,6.0,9.0,2629.0,1
builtin/providers/aws/s3_tags.go,6.0,9.0,2593.0,1
builtin/providers/aws/resource_aws_elasticache_security_group.go,6.0,9.0,2716.0,1
